playlist_month,artist_variance,genre_variance,track_count,norm_artist_variance,norm_gen_variance,artist_pop,danceability,duration_ms,energy,instrumentalness,liveness,loudness,release_year,speechiness,tempo,track_pop,valence,artist,artist_genre,key,mode,time_signature
1,97,53,126,0.7698412698412699,0.42063492063492064,59.59701492537314,0.5973358208955224,222664.40298507462,0.6170373134328359,0.08270079768656716,0.18723507462686567,-7.734746268656716,2014.1044776119404,0.04936641791044776,122.0616791044776,37.54477611940298,0.5499380597014926,Cage The Elephant,alternative rock,0,1,4
2,94,52,132,0.7121212121212122,0.3939393939393939,55.49242424242424,0.5733484848484849,218412.1893939394,0.6417575757575757,0.06308139045454546,0.19151439393939396,-7.8415606060606065,2007.1439393939395,0.056265909090909096,123.55675757575757,37.45454545454545,0.5833015151515152,Wallows,indie pop,4,1,4
3,94,45,126,0.746031746031746,0.35714285714285715,58.88321167883212,0.5731240875912409,216020.65693430658,0.6408978102189781,0.07175506649635037,0.1915766423357664,-8.035153284671534,2005.1897810218977,0.049259854014598536,122.79880291970804,41.18248175182482,0.5970452554744525,Cage The Elephant,alternative rock,9,1,4
4,131,62,171,0.7660818713450293,0.36257309941520466,62.092485549132945,0.5883179190751445,221783.83815028903,0.6337653179190752,0.08080372161849711,0.18801560693641617,-8.78249132947977,1996.606936416185,0.05817052023121387,123.0571676300578,40.51445086705202,0.6484832369942197,The Rolling Stones,album rock,2,1,4
5,95,33,133,0.7142857142857143,0.24812030075187969,54.156716417910445,0.5462694029850746,214117.62686567163,0.7314477611940298,0.05888941462686567,0.19906417910447763,-6.425828358208956,2005.3507462686566,0.04677910447761194,122.56610447761194,38.90298507462686,0.6054029850746269,Vampire Weekend,alternative rock,9,1,4
6,24,15,28,0.8571428571428571,0.5357142857142857,47.535714285714285,0.5718214285714286,226228.67857142858,0.6888928571428572,0.14686622785714287,0.18730357142857143,-6.923607142857143,2013.2857142857142,0.05096785714285714,114.82960714285714,40.535714285714285,0.6173928571428571,Something Simple,,2,1,4
7,94,50,119,0.7899159663865546,0.42016806722689076,62.36363636363637,0.5923471074380166,221513.71074380164,0.6819173553719008,0.03874781099173554,0.19854710743801654,-7.712429752066116,1996.2148760330579,0.05720082644628099,120.5203223140496,39.66115702479339,0.6945553719008265,Whitney,album rock,0,1,4
8,38,26,63,0.6031746031746031,0.4126984126984127,54.07936507936508,0.5630317460317461,216817.2380952381,0.6213968253968255,0.14215551999999998,0.15842539682539683,-7.842936507936508,2011.5396825396826,0.05224761904761904,120.54193650793651,29.571428571428573,0.5492253968253968,Beck,alternative rock,2,1,4
9,59,36,83,0.7108433734939759,0.43373493975903615,62.27710843373494,0.5903614457831325,222402.0481927711,0.5164819277108434,0.03654138301204819,0.17556144578313254,-8.397759036144578,2008.2168674698796,0.051718072289156626,118.25027710843372,38.506024096385545,0.5250746987951808,Vampire Weekend,dance pop,7,1,4
10,52,33,69,0.7536231884057971,0.4782608695652174,60.08695652173913,0.591159420289855,223832.0579710145,0.6256231884057971,0.05694760666666667,0.17702318840579712,-7.0520000000000005,2014.4347826086957,0.044859420289855075,120.9047536231884,42.26086956521739,0.5235333333333334,Jack Johnson,alternative rock,7,1,4
11,53,32,132,0.4015151515151515,0.24242424242424243,61.79710144927536,0.567695652173913,224314.21739130435,0.6210144927536232,0.06525819434782609,0.19389855072463769,-7.4228405797101455,2011.5942028985507,0.05930217391304348,126.51197101449277,21.347826086956523,0.5325217391304348,Phoenix,alternative dance,0,1,4
12,53,41,64,0.828125,0.640625,56.546875,0.594328125,214554.96875,0.61875,0.10131770531249999,0.184625,-8.309984375,2007.796875,0.0436734375,123.86345312499999,37.640625,0.59640625,FUR,ann arbor indie,7,1,4
